"year","valid_species_totals","available_name_totals","species_per_year","percent_species_per_year","smoothed_10_year_percent_species","lumps_per_year","percent_lumps_per_year","smoothed_10_year_percent_lumps","splits_per_year","percent_splits_per_year","smoothed_10_year_percent_splits","subspecies_per_year","percent_subspecies_per_year","smoothed_10_year_percent_subspecies"
1920,35,153,91,59.4771241830065,53.4345241486783,58,37.9084967320261,40.5163030859331,2,1.30718954248366,2.25866289061917,62,40.5228758169935,46.3562882932468
1921,57,287,146,50.8710801393728,52.5670867080701,95,33.1010452961672,39.3036803428225,7,2.4390243902439,2.32074714782538,141,49.1289198606272,47.3146348247641
1922,38,250,119,47.6,52.2270867080701,91,36.4,39.6436803428225,10,4,2.39574714782538,131,52.4,47.6546348247641
1923,40,260,118,45.3846153846154,51.6804820839608,89,34.2307692307692,38.8512563207199,13,5,2.68780763931876,141,54.2307692307692,48.1627779104119
1924,32,240,97,40.4166666666667,50.9073339358126,71,29.5833333333333,37.9618530285388,6,2.5,2.73204632244633,142,59.1666666666667,48.8942593918934
1925,33,177,88,49.7175141242938,50.5389492938202,64,36.1581920903955,37.3599851627484,9,5.08474576271187,2.90038484429575,89,50.2824858757062,49.3306712447701
1926,30,243,94,38.6831275720165,48.8387489314884,72,29.6296296296296,36.1830064347493,8,3.29218106995885,2.93805776178726,149,61.3168724279835,51.030871607102
1927,15,142,44,30.9859154929577,46.1040071474508,35,24.6478873239437,34.1741109566173,6,4.22535211267606,3.14129472744083,98,69.0140845070423,53.7656133911396
1928,27,180,45,25,43.5286302630287,30,16.6666666666667,31.77042586449,12,6.66666666666667,3.60695636898187,135,75,56.3912415318431
1929,25,183,54,29.5081967213115,41.7644240284241,33,18.0327868852459,29.6358807188177,4,2.18579234972678,3.67009518944678,129,70.4918032786885,58.1554477664477
1930,8,125,41,32.8,39.0967116101234,37,29.6,28.8050310456151,4,3.2,3.85937623519841,84,67.2,60.8231601847484
1931,32,213,67,31.4553990610329,37.1551435022894,45,21.1267605633803,27.6076025723364,10,4.69483568075117,4.08495736424914,145,68.075117370892,62.7177799357748
1932,43,301,86,28.5714285714286,35.2522863594323,51,16.9435215946844,25.6619547318049,8,2.6578073089701,3.95073809514615,214,71.0963455149502,64.5874144872699
1933,22,197,52,26.3959390862944,33.3534187296002,40,20.3045685279188,24.2693346615198,10,5.0761421319797,3.95835230834412,142,72.0812182741117,66.3724593916041
1934,18,202,52,25.7425742574257,31.8860094886761,40,19.8019801980198,23.2911993479885,6,2.97029702970297,4.00538201131442,150,74.2574257425743,67.8815352991949
1935,20,207,41,19.8067632850242,28.8949344047491,29,14.0096618357488,21.0763463225238,8,3.86473429951691,3.88338086499492,165,79.7101449275362,70.8243012043779
1936,32,230,60,26.0869565217391,27.6353172997214,42,18.2608695652174,19.9394703160826,14,6.08695652173913,4.16285841017295,169,73.4782608695652,72.040440048536
1937,17,191,46,24.0837696335079,26.9451027137764,33,17.2774869109948,19.2024302747877,6,3.1413612565445,4.05445932455979,145,75.9162303664921,72.730654634481
1938,16,159,35,22.0125786163522,26.6463605754116,23,14.4654088050314,18.9823044886242,4,2.51572327044025,3.63936498493715,123,77.3584905660377,72.9665036910848
1939,25,202,45,22.2772277227723,25.9232636755577,26,12.8712871287129,18.4661545129709,6,2.97029702970297,3.71781545293477,157,77.7227722772277,73.6896005909387
1940,22,215,33,15.3488372093023,24.178147396488,25,11.6279069767442,16.6689452106453,15,6.97674418604651,4.09548987153942,182,84.6511627906977,75.4347168700085
1941,21,163,34,20.8588957055215,23.1184970609368,20,12.2699386503067,15.7832630193379,9,5.52147239263804,4.17815354272811,127,77.9141104294479,76.4186161758641
1942,8,139,40,28.7769784172662,23.1390520455206,34,24.4604316546763,16.5349540253371,2,1.43884892086331,4.05625770391743,99,71.2230215827338,76.4312837826424
1943,18,89,26,29.2134831460674,23.4208064514979,13,14.6067415730337,15.9651713298486,5,5.61797752808989,4.11044124352845,63,70.7865168539326,76.3018136406245
1944,5,71,11,15.4929577464789,22.3958448004032,10,14.0845070422535,15.393424014272,4,5.63380281690141,4.37679182224829,60,84.5070422535211,77.3267752917192
1945,10,85,18,21.1764705882353,22.5328155307243,14,16.4705882352941,15.6395166542265,6,7.05882352941176,4.69620074523778,67,78.8235294117647,77.2381137401421
1946,5,120,16,13.3333333333333,21.2574532118837,13,10.8333333333333,14.8967630310381,2,1.66666666666667,4.25417175973053,100,83.3333333333333,78.2236209865189
1947,8,59,16,27.1186440677966,21.5609406553126,10,16.9491525423729,14.8639295941759,2,3.38983050847458,4.27901868492354,43,72.8813559322034,77.92013354309
1948,7,82,9,10.9756097560976,20.4572437692871,5,6.09756097560976,14.0271448112337,3,3.65853658536585,4.3933000164161,73,89.0243902439024,79.0867235108765
1949,9,97,16,16.4948453608247,19.8790055330924,9,9.27835051546392,13.6678511499088,3,3.09278350515464,4.40554866396127,80,82.4742268041237,79.5618689635661
1950,12,77,14,18.1818181818182,20.162303630344,5,6.49350649350649,13.1544111015851,3,3.8961038961039,4.097484634967,63,81.8181818181818,79.2785708663145
1951,14,91,24,26.3736263736264,20.7137766971545,13,14.2857142857143,13.3559886651258,4,4.3956043956044,3.98489783526364,67,73.6263736263736,78.8497971860071
